Word,Negative,Positive
abandon,2009,0
abandoned,2009,0
abandoning,2009,0
abandonment,2009,0
abandonments,2009,0
abandons,2009,0
abdicated,2009,0
abdicates,2009,0
abdicating,2009,0
abdication,2009,0
abdications,2009,0
aberrant,2009,0
aberration,2009,0
aberrational,2009,0
aberrations,2009,0
abetting,2009,0
abeyance,0,0
abeyances,0,0
able,0,2009
abnormal,2009,0
abnormalities,2009,0
abnormality,2009,0
abnormally,2009,0
abolish,2009,0
abolished,2009,0
abolishes,2009,0
abolishing,2009,0
abrogate,2009,0
abrogated,2009,0
abrogates,2009,0
abrogating,2009,0
abrogation,2009,0
abrogations,2009,0
abrupt,2009,0
abruptly,2009,0
abruptness,2009,0
absence,2009,0
absences,2009,0
absenteeism,2009,0
abundance,0,2009
abundant,0,2009
abuse,2009,0
abused,2009,0
abuses,2009,0
abusing,2009,0
abusive,2009,0
abusively,2009,0
abusiveness,2009,0
accident,2009,0
accidental,2009,0
accidentally,2009,0
accidents,2009,0
acclaimed,0,2009
accomplish,0,2009
accomplished,0,2009
accomplishes,0,2009
accomplishing,0,2009
accomplishment,0,2009
accomplishments,0,2009
accusation,2009,0
accusations,2009,0
accuse,2009,0
accused,2009,0
accuses,2009,0
accusing,2009,0
achieve,0,2009
achieved,0,2009
achievement,0,2009
achievements,0,2009
achieves,0,2009
achieving,0,2009
acquiesce,2009,0
acquiesced,2009,0
acquiesces,2009,0
acquiescing,2009,0
acquit,2009,0
acquits,2009,0
acquittal,2009,0
acquittals,2009,0
acquitted,2009,0
acquitting,2009,0
adequately,0,2009
adulterate,2009,0
adulterated,2009,0
adulterating,2009,0
adulteration,2009,0
adulterations,2009,0
advancement,0,2009
advancements,0,2009
advances,0,2009
advancing,0,2009
advantage,0,2009
advantaged,0,2009
advantageous,0,2009
advantageously,0,2009
advantages,0,2009
adversarial,2009,0
adversaries,2009,0
adversary,2009,0
adverse,2009,0
adversely,2009,0
adversities,2009,0
adversity,2009,0
aftermath,2009,0
aftermaths,2009,0
against,2009,0
aggravate,2009,0
aggravated,2009,0
aggravates,2009,0
aggravating,2009,0
aggravation,2009,0
aggravations,2009,0
alerted,2009,0
alerting,2009,0
alienate,2009,0
alienated,2009,0
alienates,2009,0
alienating,2009,0
alienation,2009,0
alienations,2009,0
allegation,2009,0
allegations,2009,0
allege,2009,0
alleged,2009,0
allegedly,2009,0
alleges,2009,0
alleging,2009,0
alliance,0,2009
alliances,0,2009
almost,0,0
alteration,0,0
alterations,0,0
ambiguities,0,0
ambiguity,0,0
ambiguous,0,0
annoy,2009,0
annoyance,2009,0
annoyances,2009,0
annoyed,2009,0
annoying,2009,0
annoys,2009,0
annul,2009,0
annulled,2009,0
annulling,2009,0
annulment,2009,0
annulments,2009,0
annuls,2009,0
anomalies,2009,0
anomalous,2009,0
anomalously,2009,0
anomaly,2009,0
anticipate,0,0
anticipated,0,0
anticipates,0,0
anticipating,0,0
anticipation,0,0
anticipations,0,0
anticompetitive,2009,0
antitrust,2009,0
apparent,0,0
apparently,0,0
appear,0,0
appeared,0,0
appearing,0,0
appears,0,0
approximate,0,0
approximated,0,0
approximately,0,0
approximates,0,0
approximating,0,0
approximation,0,0
approximations,0,0
arbitrarily,0,0
arbitrariness,0,0
arbitrary,0,0
argue,2009,0
argued,2009,0
arguing,2009,0
argument,2009,0
argumentative,2009,0
arguments,2009,0
arrearage,2009,0
arrearages,2009,0
arrears,2009,0
arrest,2009,0
arrested,2009,0
arrests,2009,0
artificially,2009,0
assault,2009,0
assaulted,2009,0
assaulting,2009,0
assaults,2009,0
assertions,2009,0
assume,0,0
assumed,0,0
assumes,0,0
assuming,0,0
assumption,0,0
assumptions,0,0
assure,0,2009
assured,0,2009
assures,0,2009
assuring,0,2009
attain,0,2009
attained,0,2009
attaining,0,2009
attainment,0,2009
attainments,0,2009
attains,0,2009
attractive,0,2009
attractiveness,0,2009
attrition,2009,0
aversely,2011,0
backdating,2009,0
bad,2009,0
bail,2009,0
bailout,2009,0
balk,2009,0
balked,2009,0
bankrupt,2009,0
bankruptcies,2009,0
bankruptcy,2009,0
bankrupted,2009,0
bankrupting,2009,0
bankrupts,2009,0
bans,2009,0
barred,2009,0
barrier,2009,0
barriers,2009,0
beautiful,0,2009
beautifully,0,2009
believe,0,0
believed,0,0
believes,0,0
believing,0,0
beneficial,0,-2020
beneficially,0,2009
benefit,0,-2020
benefited,0,2009
benefiting,0,2009
benefitted,0,2009
benefitting,0,2009
best,0,2012
better,0,2009
bolstered,0,2009
bolstering,0,2009
bolsters,0,2009
boom,0,2009
booming,0,2009
boost,0,2009
boosted,0,2009
bottleneck,2009,0
bottlenecks,2009,0
boycott,2009,0
boycotted,2009,0
boycotting,2009,0
boycotts,2009,0
breach,2009,0
breached,2009,0
breaches,2009,0
breaching,2009,0
break,2009,0
breakage,2009,0
breakages,2009,0
breakdown,2009,0
breakdowns,2009,0
breaking,-2020,0
breaks,2009,0
breakthrough,0,2009
breakthroughs,0,2009
bribe,2009,0
bribed,2009,0
briberies,2009,0
bribery,2009,0
bribes,2009,0
bribing,2009,0
bridge,-2020,0
brilliant,0,2009
broken,-2020,0
burden,2009,0
burdened,2009,0
burdening,2009,0
burdens,2009,0
burdensome,2009,0
burned,2009,0
calamities,2009,0
calamitous,2009,0
calamity,2009,0
cancel,2009,0
canceled,2009,0
canceling,2009,0
cancellation,2009,0
cancellations,2009,0
cancelled,2009,0
cancelling,2009,0
cancels,2009,0
careless,2009,0
carelessly,2009,0
carelessness,2009,0
catastrophe,2009,0
catastrophes,2009,0
catastrophic,2009,0
catastrophically,2009,0
caution,2009,0
cautionary,2009,0
cautioned,2009,0
cautioning,2009,0
cautions,2009,0
cautious,0,0
cautiously,0,0
cautiousness,0,0
cease,2009,0
ceased,2009,0
ceases,2009,0
ceasing,2009,0
censure,2009,0
censured,2009,0
censures,2009,0
censuring,2009,0
challenge,2009,0
challenged,2009,0
challenges,2009,0
challenging,2009,0
chargeoffs,2009,0
charitable,0,2009
circumvent,2009,0
circumvented,2009,0
circumventing,2009,0
circumvention,2009,0
circumventions,2009,0
circumvents,2009,0
claiming,2009,0
claims,2009,0
clarification,0,0
clarifications,0,0
clawback,2009,0
closed,-2020,0
closeout,2009,0
closeouts,2009,0
closing,-2020,0
closings,2009,0
closure,2009,0
closures,2009,0
coerce,2009,0
coerced,2009,0
coerces,2009,0
coercing,2009,0
coercion,2009,0
coercive,2009,0
collaborate,0,2009
collaborated,0,2009
collaborates,0,2009
collaborating,0,2009
collaboration,0,2009
collaborations,0,2009
collaborative,0,2009
collaborator,0,2009
collaborators,0,2009
collapse,2009,0
collapsed,2009,0
collapses,2009,0
collapsing,2009,0
collision,2009,0
collisions,2009,0
collude,2009,0
colluded,2009,0
colludes,2009,0
colluding,2009,0
collusion,2009,0
collusions,2009,0
collusive,2009,0
complain,2009,0
complained,2009,0
complaining,2009,0
complains,2009,0
complaint,2009,0
complaints,2009,0
complicate,2009,0
complicated,2009,0
complicates,2009,0
complicating,2009,0
complication,2009,0
complications,2009,0
compliment,0,2009
complimentary,0,2009
complimented,0,2009
complimenting,0,2009
compliments,0,2009
compulsion,2009,0
concealed,2009,0
concealing,2009,0
concede,2009,0
conceded,2009,0
concedes,2009,0
conceding,2009,0
conceivable,0,0
conceivably,0,0
concern,2009,0
concerned,2009,0
concerns,2009,0
conciliating,2009,0
conciliation,2009,0
conciliations,2009,0
conclusive,0,2009
conclusively,0,2009
condemn,2009,0
condemnation,2009,0
condemnations,2009,0
condemned,2009,0
condemning,2009,0
condemns,2009,0
conditional,0,0
conditionally,0,0
condone,2009,0
condoned,2009,0
conducive,0,2009
confess,2009,0
confessed,2009,0
confesses,2009,0
confessing,2009,0
confession,2009,0
confident,0,2009
confine,2009,0
confined,2009,0
confinement,2009,0
confinements,2009,0
confines,2009,0
confining,2009,0
confiscate,2009,0
confiscated,2009,0
confiscates,2009,0
confiscating,2009,0
confiscation,2009,0
confiscations,2009,0
conflict,2009,0
conflicted,2009,0
conflicting,2009,0
conflicts,2009,0
confront,2009,0
confrontation,2009,0
confrontational,2009,0
confrontations,2009,0
confronted,2009,0
confronting,2009,0
confronts,2009,0
confuse,2009,0
confused,2009,0
confuses,2009,0
confusing,2009,0
confusingly,2009,0
confusion,2009,0
conspiracies,2009,0
conspiracy,2009,0
conspirator,2009,0
conspiratorial,2009,0
conspirators,2009,0
conspire,2009,0
conspired,2009,0
conspires,2009,0
conspiring,2009,0
constructive,0,2009
constructively,0,2009
contempt,2009,0
contend,2009,0
contended,2009,0
contending,2009,0
contends,2009,0
contention,2009,0
contentions,2009,0
contentious,2009,0
contentiously,2009,0
contested,2009,0
contesting,2009,0
contingencies,0,0
contingency,0,0
contingent,0,0
contingently,0,0
contingents,0,0
contraction,2009,0
contractions,2009,0
contradict,2009,0
contradicted,2009,0
contradicting,2009,0
contradiction,2009,0
contradictions,2009,0
contradictory,2009,0
contradicts,2009,0
contrary,2009,0
controversial,2009,0
controversies,2009,0
controversy,2009,0
convict,2009,0
convicted,2009,0
convicting,2009,0
conviction,2009,0
convictions,2009,0
corrected,2009,0
correcting,2009,0
correction,2009,0
corrections,2009,0
corrects,2009,0
corrupt,2009,0
corrupted,2009,0
corrupting,2009,0
corruption,2009,0
corruptions,2009,0
corruptly,2009,0
corruptness,2009,0
costly,2009,0
could,0,0
counterclaim,2009,0
counterclaimed,2009,0
counterclaiming,2009,0
counterclaims,2009,0
counterfeit,2009,0
counterfeited,2009,0
counterfeiter,2009,0
counterfeiters,2009,0
counterfeiting,2009,0
counterfeits,2009,0
countermeasure,2009,0
countermeasures,2009,0
courteous,0,2009
creative,0,2009
creatively,0,2009
creativeness,0,2009
creativity,0,2009
crime,2009,0
crimes,2009,0
criminal,2009,0
criminally,2009,0
criminals,2009,0
crises,2009,0
crisis,2009,0
critical,-2020,0
critically,2009,0
criticism,2009,0
criticisms,2009,0
criticize,2009,0
criticized,2009,0
criticizes,2009,0
criticizing,2009,0
crossroad,0,0
crossroads,0,0
crucial,2009,0
crucially,2009,0
culpability,2009,0
culpable,2009,0
culpably,2009,0
cumbersome,2009,0
curtail,2009,0
curtailed,2009,0
curtailing,2009,0
curtailment,2009,0
curtailments,2009,0
curtails,2009,0
cut,2009,0
cutback,2009,0
cutbacks,2009,0
cyberattack,2014,0
cyberattacks,2014,0
cyberbullying,2014,0
cybercrime,2014,0
cybercrimes,2014,0
cybercriminal,2014,0
cybercriminals,2014,0
damage,2009,0
damaged,2009,0
damages,2009,0
damaging,2009,0
dampen,2009,0
dampened,2009,0
danger,2009,0
dangerous,2009,0
dangerously,2009,0
dangers,2009,0
deadlock,2009,0
deadlocked,2009,0
deadlocking,2009,0
deadlocks,2009,0
deadweight,2009,0
deadweights,2009,0
debarment,2009,0
debarments,2009,0
debarred,2009,0
deceased,2009,0
deceit,2009,0
deceitful,2009,0
deceitfulness,2009,0
deceive,2009,0
deceived,2009,0
deceives,2009,0
deceiving,2009,0
deception,2009,0
deceptions,2009,0
deceptive,2009,0
deceptively,2009,0
decline,2009,0
declined,2009,0
declines,2009,0
declining,2009,0
deface,2009,0
defaced,2009,0
defacement,2009,0
defamation,2009,0
defamations,2009,0
defamatory,2009,0
defame,2009,0
defamed,2009,0
defames,2009,0
defaming,2009,0
default,2009,0
defaulted,2009,0
defaulting,2009,0
defaults,2009,0
defeat,2009,0
defeated,2009,0
defeating,2009,0
defeats,2009,0
defect,2009,0
defective,2009,0
defects,2009,0
defend,2009,0
defendant,2009,0
defendants,2009,0
defended,2009,0
defending,2009,0
defends,2009,0
defensive,2009,0
defer,2009,0
deficiencies,2009,0
deficiency,2009,0
deficient,2009,0
deficit,2009,0
deficits,2009,0
defraud,2009,0
defrauded,2009,0
defrauding,2009,0
defrauds,2009,0
defunct,2009,0
degradation,2009,0
degradations,2009,0
degrade,2009,0
degraded,2009,0
degrades,2009,0
degrading,2009,0
delay,2009,0
delayed,2009,0
delaying,2009,0
delays,2009,0
deleterious,2009,0
deliberate,2009,0
deliberated,2009,0
deliberately,2009,0
delight,0,2009
delighted,0,2009
delightful,0,2009
delightfully,0,2009
delighting,0,2009
delights,0,2009
delinquencies,2009,0
delinquency,2009,0
delinquent,2009,0
delinquently,2009,0
delinquents,2009,0
delist,2009,0
delisted,2009,0
delisting,2009,0
delists,2011,0
demise,2009,0
demised,2009,0
demises,2009,0
demising,2009,0
demolish,2009,0
demolished,2009,0
demolishes,2009,0
demolishing,2009,0
demolition,2009,0
demolitions,2009,0
demote,2009,0
demoted,2009,0
demotes,2009,0
demoting,2009,0
demotion,2009,0
demotions,2009,0
denial,2009,0
denials,2009,0
denied,2009,0
denies,2009,0
denigrate,2009,0
denigrated,2009,0
denigrates,2009,0
denigrating,2009,0
denigration,2009,0
deny,2009,0
denying,2009,0
depend,0,0
dependability,0,2009
dependable,0,2009
depended,0,0
dependence,0,0
dependencies,0,0
dependency,0,0
dependent,0,0
depending,0,0
depends,0,0
deplete,2009,0
depleted,2009,0
depletes,2009,0
depleting,2009,0
depletion,2009,0
depletions,2009,0
deprecation,2009,0
depress,2009,0
depressed,2009,0
depresses,2009,0
depressing,2009,0
deprivation,2009,0
deprive,2009,0
deprived,2009,0
deprives,2009,0
depriving,2009,0
derelict,2009,0
dereliction,2009,0
derogatory,2009,0
desirable,0,2009
desired,0,2009
despite,0,2009
destabilization,2009,0
destabilize,2009,0
destabilized,2009,0
destabilizing,2009,0
destined,0,2009
destroy,2009,0
destroyed,2009,0
destroying,2009,0
destroys,2009,0
destruction,2009,0
destructive,2009,0
detain,2009,0
detained,2009,0
detention,2009,0
detentions,2009,0
deter,2009,0
deteriorate,2009,0
deteriorated,2009,0
deteriorates,2009,0
deteriorating,2009,0
deterioration,2009,0
deteriorations,2009,0
deterred,2009,0
deterrence,2009,0
deterrences,2009,0
deterrent,2009,0
deterrents,2009,0
deterring,2009,0
deters,2009,0
detract,2009,0
detracted,2009,0
detracting,2009,0
detriment,2009,0
detrimental,2009,0
detrimentally,2009,0
detriments,2009,0
devalue,2009,0
devalued,2009,0
devalues,2009,0
devaluing,2009,0
devastate,2009,0
devastated,2009,0
devastating,2009,0
devastation,2009,0
deviate,2009,0
deviated,2009,0
deviates,2009,0
deviating,2009,0
deviation,2009,0
deviations,2009,0
devolve,2009,0
devolved,2009,0
devolves,2009,0
devolving,2009,0
differ,0,0
differed,0,0
differing,0,0
differs,0,0
difficult,2009,0
difficulties,2009,0
difficultly,2009,0
difficulty,2009,0
diligent,0,2009
diligently,0,2009
diminish,2009,0
diminished,2009,0
diminishes,2009,0
diminishing,2009,0
diminution,2009,0
disadvantage,2009,0
disadvantaged,2009,0
disadvantageous,2009,0
disadvantages,2009,0
disaffiliation,2009,0
disagree,2009,0
disagreeable,2009,0
disagreed,2009,0
disagreeing,2009,0
disagreement,2009,0
disagreements,2009,0
disagrees,2009,0
disallow,2009,0
disallowance,2009,0
disallowances,2009,0
disallowed,2009,0
disallowing,2009,0
disallows,2009,0
disappear,2009,0
disappearance,2009,0
disappearances,2009,0
disappeared,2009,0
disappearing,2009,0
disappears,2009,0
disappoint,2009,0
disappointed,2009,0
disappointing,2009,0
disappointingly,2009,0
disappointment,2009,0
disappointments,2009,0
disappoints,2009,0
disapproval,2009,0
disapprovals,2009,0
disapprove,2009,0
disapproved,2009,0
disapproves,2009,0
disapproving,2009,0
disassociates,2009,0
disassociating,2009,0
disassociation,2009,0
disassociations,2009,0
disaster,2009,0
disasters,2009,0
disastrous,2009,0
disastrously,2009,0
disavow,2009,0
disavowal,2009,0
disavowed,2009,0
disavowing,2009,0
disavows,2009,0
disciplinary,2009,0
disclaim,2009,0
disclaimed,2009,0
disclaimer,2009,0
disclaimers,2009,0
disclaiming,2009,0
disclaims,2009,0
disclose,2009,0
disclosed,2009,0
discloses,2009,0
disclosing,2009,0
discontinuance,2009,0
discontinuances,2009,0
discontinuation,2009,0
discontinuations,2009,0
discontinue,2009,0
discontinued,2009,0
discontinues,2009,0
discontinuing,2009,0
discourage,2009,0
discouraged,2009,0
discourages,2009,0
discouraging,2009,0
discredit,2009,0
discredited,2009,0
discrediting,2009,0
discredits,2009,0
discrepancies,2009,0
discrepancy,2009,0
disfavor,2009,0
disfavored,2009,0
disfavoring,2009,0
disfavors,2009,0
disgorge,2009,0
disgorged,2009,0
disgorgement,2009,0
disgorgements,2009,0
disgorges,2009,0
disgorging,2009,0
disgrace,2009,0
disgraceful,2009,0
disgracefully,2009,0
dishonest,2009,0
dishonestly,2009,0
dishonesty,2009,0
dishonor,2009,0
dishonorable,2009,0
dishonorably,2009,0
dishonored,2009,0
dishonoring,2009,0
dishonors,2009,0
disincentives,2009,0
disinterested,2009,0
disinterestedly,2009,0
disinterestedness,2009,0
disloyal,2009,0
disloyally,2009,0
disloyalty,2009,0
dismal,2009,0
dismally,2009,0
dismiss,2009,0
dismissal,2009,0
dismissals,2009,0
dismissed,2009,0
dismisses,2009,0
dismissing,2009,0
disorderly,2009,0
disparage,2009,0
disparaged,2009,0
disparagement,2009,0
disparagements,2009,0
disparages,2009,0
disparaging,2009,0
disparagingly,2009,0
disparities,2009,0
disparity,2009,0
displace,2009,0
displaced,2009,0
displacement,2009,0
displacements,2009,0
displaces,2009,0
displacing,2009,0
dispose,2009,0
dispossess,2009,0
dispossessed,2009,0
dispossesses,2009,0
dispossessing,2009,0
disproportion,2009,0
disproportional,2009,0
disproportionate,2009,0
disproportionately,2009,0
dispute,2009,0
disputed,2009,0
disputes,2009,0
disputing,2009,0
disqualification,2009,0
disqualifications,2009,0
disqualified,2009,0
disqualifies,2009,0
disqualify,2009,0
disqualifying,2009,0
disregard,2009,0
disregarded,2009,0
disregarding,2009,0
disregards,2009,0
disreputable,2009,0
disrepute,2009,0
disrupt,2009,0
disrupted,2009,0
disrupting,2009,0
disruption,2009,0
disruptions,2009,0
disruptive,2009,0
disrupts,2009,0
dissatisfaction,2009,0
dissatisfied,2009,0
dissent,2009,0
dissented,2009,0
dissenter,2009,0
dissenters,2009,0
dissenting,2009,0
dissents,2009,0
dissident,2009,0
dissidents,2009,0
dissolution,2009,0
dissolutions,2009,0
distinction,0,2009
distinctions,0,2009
distinctive,0,2009
distinctively,0,2009
distinctiveness,0,2009
distort,2009,0
distorted,2009,0
distorting,2009,0
distortion,2009,0
distortions,2009,0
distorts,2009,0
